상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220810869695,롯데리아마산역점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48127,창원시 마산회원구,48127545,석전동,4812710400,석전동,4812710400102320001,1,대지,232.0,1.0,경상남도 창원시 마산회원구 석전동 232-1,481274790264,경상남도 창원시 마산회원구 양덕옛2길,129.0,,4812710400102320007000002,창원마산역동도센트리움,경상남도 창원시 마산회원구 양덕옛2길 129,630808.0,51316,,1,,128.579920668597,35.2336697818023
MA010120220809902942,롯데리아진주,혁신점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48170,진주시,48170750,충무공동,4817013700,충무공동,4817013700101310003,1,대지,131.0,3.0,경상남도 진주시 충무공동 131-3,481703350085,경상남도 진주시 소호로,12.0,,4817013700101310003000001,,경상남도 진주시 소호로 12,660031.0,52858,,1,,128.13577228697,35.1699837164198
MA010120220813110491,롯데리아삼문점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48270,밀양시,48270530,삼문동,4827010400,삼문동,4827010400101650006,1,대지,165.0,6.0,경상남도 밀양시 삼문동 165-6,482703336074,경상남도 밀양시 중앙로,241.0,,4827010400101650006000001,,경상남도 밀양시 중앙로 241,627804.0,50440,,1,,128.757116132854,35.4849653491051
MA010120220810057221,롯데리아대안점,,I2,음식,I210,기타 간이,I21003,피자,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48170,진주시,48170565,중앙동,4817010900,대안동,4817010900100160004,1,대지,16.0,4.0,경상남도 진주시 대안동 16-4,481702332003,경상남도 진주시 진주대로,1077.0,,4817010900100160004205320,,경상남도 진주시 진주대로 1077,660140.0,52683,,1,,128.083161918888,35.1955848911617
MA010120220805947504,롯데리아함양점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48870,함양군,48870250,함양읍,4887025021,함양읍,4887025021100420010,1,대지,42.0,10.0,경상남도 함양군 함양읍 운림리 42-10,488703329003,경상남도 함양군 함양읍 고운로,52.0,,4887025021100420010010728,,경상남도 함양군 함양읍 고운로 52,676806.0,50041,,,,127.727096492435,35.5203010094961
MA010120220810930209,롯데리아,도계점,I2,음식,I210,기타 간이,I21004,버거,L68112,비주거용 건물 임대업,48,경상남도,48121,창원시 의창구,48121530,명곡동,4812110500,도계동,4812110500104170007,1,대지,417.0,7.0,경상남도 창원시 의창구 도계동 417-7,481213327013,경상남도 창원시 의창구 도계로,99.0,,4812110500104170007020209,도계동,경상남도 창원시 의창구 도계로 99,641811.0,51161,,,,128.640560576034,35.2563847956013
MA010120220811173923,롯데리아진주초장점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48170,진주시,48170695,초장동,4817012200,초전동,4817012200117030003,1,대지,1703.0,3.0,경상남도 진주시 초전동 1703-3,481703350120,경상남도 진주시 초북로,40.0,,4817012200117030003000001,,경상남도 진주시 초북로 40,660360.0,52731,,,,128.11155232693,35.2122539346456
MA010120220810916493,롯데리아팔용점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48121,창원시 의창구,48121520,팔룡동,4812112900,팔용동,4812112900100770001,1,대지,77.0,1.0,경상남도 창원시 의창구 팔용동 77-1,481214781319,경상남도 창원시 의창구 사화로80번길,1.0,,4812112900100770001013792,,경상남도 창원시 의창구 사화로80번길 1,641848.0,51378,,,,128.615461416486,35.2533970377291
MA010120220810861071,롯데리아마산,호계점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48127,창원시 마산회원구,48127250,내서읍,4812725023,내서읍,4812725023102790001,1,대지,279.0,1.0,경상남도 창원시 마산회원구 내서읍 호계리 279-1,481273330038,경상남도 창원시 마산회원구 내서읍 호원로,220.0,,4812725023102790001000458,,경상남도 창원시 마산회원구 내서읍 호원로 220,630856.0,51245,,,,128.521209325873,35.2530597009613
MA010120220808053026,롯데리아감계점,,I2,음식,I210,기타 간이,I21004,버거,I56191,제과점업,48,경상남도,48121,창원시 의창구,48121310,북면,4812131028,북면,4812131028102440006,1,대지,244.0,6.0,경상남도 창원시 의창구 북면 감계리 244-6,481214781164,경상남도 창원시 의창구 북면 동전로45번길,23.0,,4812131028102440006000001,,경상남도 창원시 의창구 북면 동전로45번길 23,641871.0,51112,,1,,128.593192059399,35.3000153216555
MA010120220813022376,롯데리아,거제고현점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48310,거제시,48310580,고현동,4831010900,고현동,4831010900109610038,1,대지,961.0,38.0,경상남도 거제시 고현동 961-38,483103337065,경상남도 거제시 서문로,70.0,,4831010900109610038024421,,경상남도 거제시 서문로 70,656935.0,53251,,1,,128.623357114808,34.8895923574362
MA010120220811495398,세복네트웍스사천맥도날드,,I2,음식,I210,기타 간이,I21004,버거,L68112,비주거용 건물 임대업,48,경상남도,48240,사천시,48240250,사천읍,4824025024,사천읍,4824025024103200011,1,대지,320.0,11.0,경상남도 사천시 사천읍 수석리 320-11,482402334003,경상남도 사천시 사천읍 사천대로,1838.0,,4824025024103200011040881,,경상남도 사천시 사천읍 사천대로 1838,664806.0,52519,,,,128.083495520414,35.0808093426196
MA010120220811234627,롯데리아밀양,하남점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48270,밀양시,48270253,하남읍,4827025327,하남읍,4827025327106270001,1,대지,627.0,1.0,경상남도 밀양시 하남읍 양동리 627-1,482703336043,경상남도 밀양시 하남읍 수산중앙로,93.0,1.0,4827025327106270001027177,,경상남도 밀양시 하남읍 수산중앙로 93-1,627895.0,50460,,,,128.715460471973,35.3750975311596
MA010120220812620798,롯데리아롯데마트,장유점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48250,김해시,48250620,장유2동,4825012900,대청동,4825012900103000000,1,대지,300.0,,경상남도 김해시 대청동 300,482504805360,경상남도 김해시 번화1로56번길,15.0,,4825031027103000000091998,롯데마트,경상남도 김해시 번화1로56번길 15,621280.0,51004,,1,,128.801295503838,35.1930419897047
MA010120220813247366,롯데리아경남,남지점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48740,창녕군,48740253,남지읍,4874025321,남지읍,4874025321107670012,1,대지,767.0,12.0,경상남도 창녕군 남지읍 남지리 767-12,487404823754,경상남도 창녕군 남지읍 문화길,35.0,4.0,4874025321107670012000001,,경상남도 창녕군 남지읍 문화길 35-4,635903.0,50361,,,,128.47837423997,35.3873250134562
MA010120220812293094,버거킹진주경,상대점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48170,진주시,48170740,가호동,4817013100,가좌동,4817013100104780006,1,대지,478.0,6.0,경상남도 진주시 가좌동 478-6,481702332003,경상남도 진주시 진주대로,540.0,,4817013100104780006000001,,경상남도 진주시 진주대로 540,660300.0,52827,,,,128.10724489479,35.1546102653432
MA010120220811164183,롯데리아,남해점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48840,남해군,48840250,남해읍,4884025022,남해읍,4884025022101640000,1,대지,164.0,,경상남도 남해군 남해읍 서변리 164,488403343044,경상남도 남해군 남해읍 화전로,52.0,1.0,4884025022101640000015176,,경상남도 남해군 남해읍 화전로 52-1,668801.0,52424,,,,127.89480480447,34.8359010182671
MA010120220811069529,롯데리아,합천점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48890,합천군,48890250,합천읍,4889025021,합천읍,4889025021106610001,1,대지,661.0,1.0,경상남도 합천군 합천읍 합천리 661-1,488903348045,경상남도 합천군 합천읍 동서로,85.0,,4889025021106610001002175,,경상남도 합천군 합천읍 동서로 85,678804.0,50233,,,,128.161766431107,35.5670877120812
MA010120220811150383,롯데리아진주,상봉점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48170,진주시,48170595,상봉동,4817011400,상봉동,4817011400108060023,1,대지,806.0,23.0,경상남도 진주시 상봉동 806-23,481703332047,경상남도 진주시 의병로,56.0,,4817011400108060023000002,,경상남도 진주시 의병로 56,660901.0,52658,,,,128.068663697544,35.1977326290271
